Section,Table/Figure,Title,Period,Country,Age_group,Breakdown/Measure,Data_type,Value,Value_Denominator,Value_Numerator
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,40-59,White,Percentage,57.3,996690,571520
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,40-59,Other,Percentage,2,996690,20310
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,40-59,Not stated/Not known,Percentage,12.6,996690,125600
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,40-59,Total,Percentage,100,996690,996690
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,40-59,Asian,Percentage,20.1,1010750,203445
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,40-59,Black,Percentage,7.1,1010750,72020
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,40-59,Mixed,Percentage,1.6,1010750,16140
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,40-59,White,Percentage,58.6,1010750,592260
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,40-59,Other,Percentage,2.1,1010750,20755
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,40-59,Not stated/Not known,Percentage,10.5,1010750,106135
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,40-59,Total,Percentage,100,1010750,1010750
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,40-59,Asian,Percentage,20.9,1037410,216560
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,40-59,Black,Percentage,7.2,1037410,74915
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,40-59,Mixed,Percentage,1.7,1037410,17125
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,40-59,White,Percentage,60.1,1037410,623370
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,40-59,Other,Percentage,2.1,1037410,21750
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,40-59,Not stated/Not known,Percentage,8.1,1037410,83690
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,40-59,Total,Percentage,100,1037410,1037410
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,60-79,Asian,Percentage,10.1,1562515,157070
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,60-79,Black,Percentage,3.3,1562515,51300
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,60-79,Mixed,Percentage,0.8,1562515,11915
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,60-79,White,Percentage,68.3,1562515,1066435
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,60-79,Other,Percentage,1.5,1562515,23655
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,60-79,Not stated/Not known,Percentage,16.1,1562515,252140
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,60-79,Total,Percentage,100,1562515,1562515
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,60-79,Asian,Percentage,10.4,1619410,168595
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,60-79,Black,Percentage,3.3,1619410,53665
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,60-79,Mixed,Percentage,0.8,1619410,12410
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,60-79,White,Percentage,68.9,1619410,1116285
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,60-79,Other,Percentage,1.5,1619410,23545
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,60-79,Not stated/Not known,Percentage,15.1,1619410,244910
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,60-79,Total,Percentage,100,1619410,1619410
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,60-79,Asian,Percentage,10.8,1677705,181525
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,60-79,Black,Percentage,3.4,1677705,56960
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,60-79,Mixed,Percentage,0.8,1677705,13130
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,60-79,White,Percentage,69,1677705,1157220
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,60-79,Other,Percentage,1.4,1677705,24030
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,60-79,Not stated/Not known,Percentage,14.6,1677705,244840
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,60-79,Total,Percentage,100,1677705,1677705
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,60-79,Asian,Percentage,11.2,1694835,189690
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,60-79,Black,Percentage,3.5,1694835,59015
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,60-79,Mixed,Percentage,0.8,1694835,13575
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,60-79,White,Percentage,71.2,1694835,1207045
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,60-79,Other,Percentage,1.4,1694835,24010
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,60-79,Not stated/Not known,Percentage,11.9,1694835,201500
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,60-79,Total,Percentage,100,1694835,1694835
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,60-79,Asian,Percentage,11.7,1732005,201840
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,60-79,Black,Percentage,3.6,1732005,62530
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,60-79,Mixed,Percentage,0.8,1732005,14550
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,60-79,White,Percentage,73.5,1732005,1272620
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,60-79,Other,Percentage,1.4,1732005,24715
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,60-79,Not stated/Not known,Percentage,9,1732005,155750
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,60-79,Total,Percentage,100,1732005,1732005
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,19-25,People with type 2 diabetes - Asian,Percentage,25.5,8770,2240
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,19-25,People with type 2 diabetes - Black,Percentage,8.7,8770,760
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,19-25,People with type 2 diabetes - Mixed,Percentage,3.7,8770,325
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,19-25,People with type 2 diabetes - White,Percentage,59.7,8770,5240
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,19-25,People with type 2 diabetes - Other,Percentage,2.3,8770,205
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021-22,England and Wales,19-25,People with type 2 diabetes - Total,Percentage,100,8770,8770
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,19-25,England and Wales - Asian,Percentage,11.7,5037580,589575
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,19-25,England and Wales - Black,Percentage,5.1,5037580,258585
Characteristics and trends,Figure 3,Percentage of people with type 2 diabetes by age group and ethnicity compared to those of equivalent age groups in the general population,2021,England and Wales,19-25,England and Wales - Mixed,Percentage,4.2,5037580,210760
